"loc","v.g.","ev.g.","iv.g.","n","v","l","d","i","e","b","t","lOCode","lOComment","lOBlank","locCodeAndComment","uniq_Op","uniq_Opnd","total_Op","total_Opnd","branchCount","defects"
0.000348432055749129,0.00909090909090909,0.016,0.00909090909090909,0.0011754068716094,0.00016416587319828,0.65,0.0241860465116279,0.00673365793017715,4.00241980143626e-06,0.492424242424242,7.20435542077869e-05,0.00763358778625954,0.0454545454545455,0.0344827586206897,0.166666666666667,0.0324324324324324,0.01,0.00176991150442478,0.00280373831775701,0.00454545454545454,1
0,0,0,0,0.000904159132007233,0.000126281440921753,0.5,0.0186046511627907,0.00517973686936704,3.07878446264328e-06,0.378787878787879,5.54181186213745e-05,0.00381679389312977,0.0227272727272727,0.0172413793103448,0.0833333333333333,0.027027027027027,0.00833333333333333,0.00147492625368732,0.00233644859813084,0,0
0.285714285714286,0.227272727272727,0,0.227272727272727,0.154611211573237,0.117175286216886,0.02,0.428651162790698,0.208588003729411,0.0658201323009102,0.117424242424242,0.0658200994866066,0.248091603053435,0.227272727272727,0.103448275862069,0,0.486486486486487,0.208333333333333,0.157817109144543,0.149532710280374,0.227272727272727,0
0.156794425087108,0.159090909090909,0.2,0.159090909090909,0.12748643761302,0.0972089275927474,0.035,0.27646511627907,0.268362167201906,0.0352112266274462,0.0984848484848485,0.0352110100284627,0.141221374045802,0.0454545454545455,0.0862068965517241,0,0.432432432432432,0.233333333333333,0.131268436578171,0.121495327102804,0.159090909090909,0
0.0836236933797909,0.0454545454545454,0,0.0454545454545454,0.0524412296564195,0.0321701970748167,0.055,0.173953488372093,0.141147829690252,0.00733351065079315,0.0303030303030303,0.00733347963716649,0.0801526717557252,0,0.0344827586206897,0,0.297297297297297,0.0833333333333333,0.0604719764011799,0.0397196261682243,0.0454545454545455,0
0.146341463414634,0.0454545454545454,0,0.0454545454545454,0.103978300180832,0.0719463253363506,0.045,0.209674418604651,0.261732104009116,0.0197772801162155,0.071969696969697,0.0197770639924099,0.133587786259542,0.0454545454545455,0.0689655172413793,0,0.297297297297297,0.166666666666667,0.109144542772861,0.0957943925233645,0.0454545454545455,0
0.163763066202091,0.113636363636364,0,0.113636363636364,0.134719710669078,0.0949143938111991,0.03,0.28706976744186,0.252356780275562,0.0357026314155287,0.0946969696969697,0.0357025687406343,0.156488549618321,0.0454545454545455,0.0344827586206897,0,0.324324324324324,0.175,0.140117994100295,0.126168224299065,0.113636363636364,0
0.236933797909408,0.25,0,0.25,0.208860759493671,0.153087202386214,0.02,0.507348837209302,0.230239303843365,0.101790587176844,0.151515151515152,0.101790337740182,0.236641221374046,0.0681818181818182,0.0344827586206897,0,0.432432432432432,0.183333333333333,0.230088495575221,0.175233644859813,0.25,0
0.160278745644599,0.113636363636364,0,0.113636363636364,0.134719710669078,0.0940796734867063,0.03,0.301395348837209,0.23821609862219,0.0371578496796417,0.0946969696969697,0.0371578485356316,0.156488549618321,0.0454545454545455,0.0172413793103448,0,0.324324324324324,0.166666666666667,0.140117994100295,0.126168224299065,0.113636363636364,0
0.163763066202091,0.136363636363636,0,0.136363636363636,0.140144665461121,0.101194369868238,0.03,0.33153488372093,0.232932767015436,0.0439600852835611,0.102272727272727,0.0439598684152191,0.16030534351145,0.0454545454545455,0.0172413793103448,0,0.378378378378378,0.183333333333333,0.146017699115044,0.130841121495327,0.136363636363636,0
